Country Name;Country Code;Region;IncomeGroup;Year;Life Expectancy World Bank;Prevelance of Undernourishment;CO2;Health Expenditure %;Education Expenditure %;Unemployment;Corruption;Sanitation;Injuries;Communicable;NonCommunicable
Nauru;NRU;East Asia & Pacific;High income;2017;68,29;4,80;70,00;11,56;6,62;3,65;3,00;28,49;590,87;838,45;2481,82
Nauru;NRU;East Asia & Pacific;High income;2018;68,29;4,80;60,00;8,63;5,88;3,65;3,00;28,49;583,21;808,84;2485,93
Nauru;NRU;East Asia & Pacific;High income;2016;68,29;4,80;60,00;10,75;6,20;3,65;3,00;28,49;602,41;877,73;2487,82
Nauru;NRU;East Asia & Pacific;High income;2019;68,29;4,80;60,00;9,78;5,60;3,65;3,00;28,49;579,07;784,58;2498,80
Nauru;NRU;East Asia & Pacific;High income;2015;68,29;4,80;60,00;13,74;5,59;3,65;3,00;28,49;616,94;921,49;2502,98
Nauru;NRU;East Asia & Pacific;High income;2014;68,29;4,80;50,00;7,95;3,78;3,65;3,00;28,49;634,29;976,40;2526,98
Nauru;NRU;East Asia & Pacific;High income;2013;68,29;4,80;50,00;9,44;3,78;3,65;3,00;28,49;662,19;1040,11;2575,11
Nauru;NRU;East Asia & Pacific;High income;2012;68,29;4,80;40,00;9,22;3,78;3,65;3,00;28,49;686,79;1114,32;2618,00
Nauru;NRU;East Asia & Pacific;High income;2011;68,29;4,80;40,00;9,81;3,78;3,65;3,00;28,49;707,03;1181,39;2653,62
Nauru;NRU;East Asia & Pacific;High income;2010;68,29;4,80;40,00;12,70;3,78;3,65;3,00;28,49;732,41;1261,66;2704,27
Nauru;NRU;East Asia & Pacific;High income;2009;68,29;4,80;40,00;12,32;3,78;3,65;3,00;28,49;756,34;1347,22;2757,29
Nauru;NRU;East Asia & Pacific;High income;2008;68,29;4,80;40,00;23,00;3,78;3,65;3,00;28,49;768,02;1414,00;2787,74
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2001;68,29;4,80;10,00;19,19;3,78;3,65;3,00;4,74;442,40;977,15;2804,71
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2002;68,29;4,80;10,00;13,28;3,78;3,65;3,00;4,74;437,01;927,01;2806,28
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2003;68,29;4,80;10,00;15,42;3,78;3,65;3,00;4,74;434,47;888,12;2818,13
Nauru;NRU;East Asia & Pacific;High income;2007;68,29;4,80;40,00;24,23;4,25;3,65;3,00;28,49;783,70;1484,58;2824,78
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2004;68,29;4,80;10,00;10,57;3,78;3,65;3,00;4,74;430,49;859,95;2829,54
Nauru;NRU;East Asia & Pacific;High income;2006;68,29;4,80;50,00;12,42;3,78;3,65;3,00;28,49;789,50;1535,73;2845,34
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2005;68,29;4,80;10,00;11,36;3,78;3,65;3,00;4,74;432,67;827,01;2850,85
Nauru;NRU;East Asia & Pacific;High income;2005;68,29;4,80;70,00;10,31;3,78;3,65;3,00;28,49;796,93;1582,63;2871,04
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2006;68,29;4,80;10,00;13,38;3,78;3,65;3,00;5,04;439,90;780,28;2877,45
Nauru;NRU;East Asia & Pacific;High income;2001;68,29;4,80;80,00;15,50;3,78;3,65;3,00;28,49;808,33;1606,13;2878,31
Nauru;NRU;East Asia & Pacific;High income;2004;68,29;4,80;70,00;6,57;3,78;3,65;3,00;28,49;802,48;1619,32;2886,94
Nauru;NRU;East Asia & Pacific;High income;2003;68,29;4,80;70,00;9,53;3,78;3,65;3,00;28,49;804,70;1630,28;2890,83
Nauru;NRU;East Asia & Pacific;High income;2002;68,29;4,80;80,00;13,19;3,78;3,65;3,00;28,49;813,17;1615,55;2897,54
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2007;68,29;4,80;10,00;11,27;3,78;3,65;3,00;5,33;443,84;756,96;2904,16
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2008;68,29;4,80;10,00;10,74;3,78;3,65;3,00;5,61;445,84;733,41;2927,72
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2009;68,29;4,80;10,00;14,36;3,78;3,65;3,00;5,89;448,91;712,08;2953,52
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2010;68,29;4,80;10,00;16,88;3,78;3,65;3,00;6,15;452,37;696,32;2983,17
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2011;68,29;4,80;10,00;15,81;3,78;3,65;3,00;6,41;452,02;685,39;3010,94
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2012;68,29;4,80;10,00;15,33;3,78;3,65;3,00;6,66;455,48;671,80;3042,93
