Country Name;Country Code;Region;IncomeGroup;Year;Life Expectancy World Bank;Prevelance of Undernourishment;CO2;Health Expenditure %;Education Expenditure %;Unemployment;Corruption;Sanitation
Nauru;NRU;East Asia & Pacific;High income;2017;68,29;4,8;70;11,56;6,62;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2018;68,29;4,8;60;8,63;5,88;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2016;68,29;4,8;60;10,75;6,2;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2019;68,29;4,8;60;9,78;5,6;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2015;68,29;4,8;60;13,74;5,59;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2014;68,29;4,8;50;7,95;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2013;68,29;4,8;50;9,44;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2012;68,29;4,8;40;9,22;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2011;68,29;4,8;40;9,81;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2010;68,29;4,8;40;12,7;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2009;68,29;4,8;40;12,32;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2008;68,29;4,8;40;23;3,78;3,65;3;28,49
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2001;68,29;4,8;10;19,19;3,78;3,65;3;4,74
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2002;68,29;4,8;10;13,28;3,78;3,65;3;4,74
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2003;68,29;4,8;10;15,42;3,78;3,65;3;4,74
Nauru;NRU;East Asia & Pacific;High income;2007;68,29;4,8;40;24,23;4,25;3,65;3;28,49
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2004;68,29;4,8;10;10,57;3,78;3,65;3;4,74
Nauru;NRU;East Asia & Pacific;High income;2006;68,29;4,8;50;12,42;3,78;3,65;3;28,49
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2005;68,29;4,8;10;11,36;3,78;3,65;3;4,74
Nauru;NRU;East Asia & Pacific;High income;2005;68,29;4,8;70;10,31;3,78;3,65;3;28,49
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2006;68,29;4,8;10;13,38;3,78;3,65;3;5,04
Nauru;NRU;East Asia & Pacific;High income;2001;68,29;4,8;80;15,5;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2004;68,29;4,8;70;6,57;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2003;68,29;4,8;70;9,53;3,78;3,65;3;28,49
Nauru;NRU;East Asia & Pacific;High income;2002;68,29;4,8;80;13,19;3,78;3,65;3;28,49
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2007;68,29;4,8;10;11,27;3,78;3,65;3;5,33
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2008;68,29;4,8;10;10,74;3,78;3,65;3;5,61
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2009;68,29;4,8;10;14,36;3,78;3,65;3;5,89
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2010;68,29;4,8;10;16,88;3,78;3,65;3;6,15
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2011;68,29;4,8;10;15,81;3,78;3,65;3;6,41
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2012;68,29;4,8;10;15,33;3,78;3,65;3;6,66
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2013;68,29;4,8;10;18,6;3,78;3,65;3;6,5
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2014;68,29;4,8;10;16,86;3,78;3,65;3,5;6,2
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2015;68,29;4,8;10;16,7;3,78;3,65;3,5;6,17
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2016;68,29;4,8;10;15,61;3,78;3,65;3,5;6,15
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2017;68,29;4,8;10;16,78;3,78;3,65;3,5;6,13
Tuvalu;TUV;East Asia & Pacific;Upper middle income;2018;68,29;4,8;10;19,04;3,78;3,65;3,5;6,12
